"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 10:03:01 GMT 2022","Wed Sep 28 10:03:11 GMT 2022","10129","","Check links on homepage","","Check links on homepage","TC10 - Should test functionality of HomePage button in header","TC10 - Should test functionality of HomePage button in header",""
"passed","Wed Sep 28 10:02:07 GMT 2022","Wed Sep 28 10:02:10 GMT 2022","2959","","Check sign up","","Check sign up","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email",""
"passed","Wed Sep 28 10:01:40 GMT 2022","Wed Sep 28 10:01:42 GMT 2022","1772","","Check links on homepage","","Check links on homepage","TC12 - Check redirection to Cookie Policy information from footer","TC12 - Check redirection to Cookie Policy information from footer",""
"passed","Wed Sep 28 10:04:02 GMT 2022","Wed Sep 28 10:04:10 GMT 2022","8056","","Check sign in","","Check sign in","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 10:03:53 GMT 2022","Wed Sep 28 10:03:56 GMT 2022","2761","","Check sign up","","Check sign up","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email",""
"passed","Wed Sep 28 10:01:49 GMT 2022","Wed Sep 28 10:01:53 GMT 2022","4081","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC19 - Should check ability to filter Developer docs by category","TC19 - Should check ability to filter Developer docs by category",""
"passed","Wed Sep 28 10:03:25 GMT 2022","Wed Sep 28 10:03:29 GMT 2022","4046","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC19 - Should check ability to filter Developer docs by category","TC19 - Should check ability to filter Developer docs by category",""
"passed","Wed Sep 28 10:03:46 GMT 2022","Wed Sep 28 10:03:53 GMT 2022","7090","","Check sign up","","Check sign up","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy",""
"passed","Wed Sep 28 10:02:42 GMT 2022","Wed Sep 28 10:02:51 GMT 2022","9341","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC17 - Check ability to submit ""Beta Tester"" form with invalid email","TC17 - Check ability to submit ""Beta Tester"" form with invalid email",""
"passed","Wed Sep 28 10:01:52 GMT 2022","Wed Sep 28 10:01:56 GMT 2022","4244","","Check search in support center","","Check search in support center","TC8 - Should check search topics in main page of support center telnyx","TC8 - Should check search topics in main page of support center telnyx",""
"passed","Wed Sep 28 10:01:42 GMT 2022","Wed Sep 28 10:01:49 GMT 2022","6963","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC15 - Should check searching for news on the ""Blog"" page","TC15 - Should check searching for news on the ""Blog"" page",""
"passed","Wed Sep 28 10:01:17 GMT 2022","Wed Sep 28 10:01:26 GMT 2022","8167","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC17 - Check ability to submit ""Beta Tester"" form with invalid email","TC17 - Check ability to submit ""Beta Tester"" form with invalid email",""
"passed","Wed Sep 28 10:02:10 GMT 2022","Wed Sep 28 10:02:15 GMT 2022","4829","","Check sign up","","Check sign up","TC4 - Should check ability to read Privacy Policy information before Sign Up","TC4 - Should check ability to read Privacy Policy information before Sign Up",""
"failed","Wed Sep 28 10:03:41 GMT 2022","Wed Sep 28 10:04:02 GMT 2022","21198","","Check sign in","","Check sign in","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 10:03:36 GMT 2022","Wed Sep 28 10:03:39 GMT 2022","3266","","Check search in support center","","Check search in support center","TC9 - Should check searching in support center telnyx","TC9 - Should check searching in support center telnyx",""
"passed","Wed Sep 28 10:03:56 GMT 2022","Wed Sep 28 10:04:01 GMT 2022","4952","","Check sign up","","Check sign up","TC4 - Should check ability to read Privacy Policy information before Sign Up","TC4 - Should check ability to read Privacy Policy information before Sign Up",""
"passed","Wed Sep 28 10:02:14 GMT 2022","Wed Sep 28 10:02:20 GMT 2022","6200","","Check sign in","","Check sign in","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header",""
"passed","Wed Sep 28 10:01:39 GMT 2022","Wed Sep 28 10:01:40 GMT 2022","1232","","Check links on homepage","","Check links on homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage",""
"passed","Wed Sep 28 10:02:02 GMT 2022","Wed Sep 28 10:02:07 GMT 2022","5170","","Check sign up","","Check sign up","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy",""
"passed","Wed Sep 28 10:03:13 GMT 2022","Wed Sep 28 10:03:15 GMT 2022","2217","","Check links on homepage","","Check links on homepage","TC12 - Check redirection to Cookie Policy information from footer","TC12 - Check redirection to Cookie Policy information from footer",""
"skipped","Wed Sep 28 10:03:25 GMT 2022","Wed Sep 28 10:03:25 GMT 2022","0","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC16 - Should check ability to filter news by content on the ""Blog"" page","TC16 - Should check ability to filter news by content on the ""Blog"" page",""
